identifier,year,team,total_signings,avg_length,total_spend,avg_age,pt_percentage
2020NYI,2020,New York Islanders,2,2.5000000000000000,12000000.00,24.4000000000000000,0.588
2020NYR,2020,New York Rangers,3,2.0000000000000000,11725000.00,25.3000000000000000,0.564
2020OTT,2020,Ottawa Senators,4,3.0000000000000000,18350000.00,27.4250000000000000,0.437
2020PHI,2020,Philadelphia Flyers,2,2.0000000000000000,5550000.00,25.8000000000000000,0.645
2020PIT,2020,Pittsburgh Penguins,0,0,0,0,0.623
2020SJS,2020,San Jose Sharks,1,4.0000000000000000,4725000.00,24.5000000000000000,0.450
2020STL,2020,St. Louis Blues,2,4.0000000000000000,10500000.00,29.9000000000000000,0.662
2020TBL,2020,Tampa Bay Lightning,3,3.3333333333333333,11350000.00,22.6666666666666667,0.657
2020TOR,2020,Toronto Maple Leafs,1,4.0000000000000000,5000000.00,30.0000000000000000,0.579
2020VAN,2020,Vancouver Canucks,2,2.0000000000000000,6850000.00,27.3000000000000000,0.565
2020VGK,2020,Vegas Golden Knights,1,7.0000000000000000,8800000.00,30.4000000000000000,0.606
2020WAS,2020,Washington Capitals,1,2.0000000000000000,4000000.00,29.9000000000000000,0.652
2020WPG,2020,Winnipeg Jets,0,0,0,0,0.563
2021ANA,2021,Anaheim Ducks,1,1.00000000000000000000,4500000.00,36.1000000000000000,0.384
2021ARI,2021,Arizona Coyotes,0,0,0,0,0.482
2021BOS,2021,Boston Bruins,4,2.7500000000000000,14175000.00,30.2500000000000000,0.652
2021BUF,2021,Buffalo Sabres,0,0,0,0,0.330
2021CAR,2021,Carolina Hurricanes,4,1.5000000000000000,15500035.00,29.3000000000000000,0.714
2021CBJ,2021,Columbus Blue Jackets,1,4.0000000000000000,2500000.00,28.4000000000000000,0.429
2021CGY,2021,Calgary Flames,1,6.0000000000000000,4900000.00,29.6000000000000000,0.491
2021CHI,2021,Chicago Blackhawks,1,4.0000000000000000,4000000.00,27.7000000000000000,0.491
2021COL,2021,Colorado Avalanche,1,1.00000000000000000000,2000000.00,27.8000000000000000,0.732
2021DAL,2021,Dallas Stars,2,2.5000000000000000,5650000.00,34.1000000000000000,0.536
2021DET,2021,Detroit Red Wings,1,2.0000000000000000,3250000.00,25.1000000000000000,0.429
2021EDM,2021,Edmonton Oilers,2,5.5000000000000000,8750000.00,28.2500000000000000,0.643
2021FLA,2021,Florida Panthers,0,0,0,0,0.705
2021LAK,2021,Los Angeles Kings,2,3.5000000000000000,9000000.00,31.7500000000000000,0.438
2021MIN,2021,Minnesota Wild,2,1.5000000000000000,7250000.00,33.3000000000000000,0.670
2021MTL,2021,Montréal Canadiens,2,3.5000000000000000,8000000.00,31.1500000000000000,0.527
2021NJD,2021,New Jersey Devils,2,4.5000000000000000,13500000.00,29.3000000000000000,0.402
2021NSH,2021,Nashville Predators,1,4.0000000000000000,5000000.00,29.3000000000000000,0.571
2021NYI,2021,New York Islanders,0,0,0,0,0.634
2021NYR,2021,New York Rangers,1,3.0000000000000000,2500000.00,29.3000000000000000,0.536
2021OTT,2021,Ottawa Senators,1,2.0000000000000000,2000000.00,31.0000000000000000,0.455
2021PHI,2021,Philadelphia Flyers,1,1.00000000000000000000,2000000.00,31.4000000000000000,0.518
2021PIT,2021,Pittsburgh Penguins,1,4.0000000000000000,2750000.00,27.4000000000000000,0.688
2021SJS,2021,San Jose Sharks,2,2.0000000000000000,4300000.00,33.2000000000000000,0.438
2021STL,2021,St. Louis Blues,1,5.0000000000000000,4500000.00,28.7000000000000000,0.563
2021TBL,2021,Tampa Bay Lightning,0,0,0,0,0.670
